time,rgb_depth_dt,u,v,depth_center
1773359364.985492,0.10940718650817871,313,471,1439.0
1773359365.0435662,0.10939216613769531,312,470,1439.0
1773359365.1006458,0.14271187782287598,312,470,1439.0
1773359365.1566727,0.07603120803833008,312,471,1439.0
1773359365.2111354,0.10935401916503906,312,470,1439.0
1773359365.2647738,0.14267539978027344,312,470,1439.0
1773359365.2776012,0.14266204833984375,312,471,1439.0
1773359365.3336916,0.14264607429504395,312,471,1439.0
1773359365.3499165,0.10929989814758301,312,470,1439.0
1773359365.362349,0.14261937141418457,313,471,1439.0
1773359365.3748603,0.14259839057922363,312,471,1439.0
1773359365.4461713,0.14259028434753418,312,470,1439.0
1773359365.5004394,0.14257097244262695,312,471,1439.0
1773359365.61942,0.14255762100219727,312,470,1439.0
1773359365.758116,0.14254140853881836,312,470,1439.0
1773359365.8615441,0.10919618606567383,312,471,1439.0
1773359365.9195542,0.1425151824951172,317,471,1439.0
1773359366.1016052,0.10916733741760254,345,471,1439.0
1773359366.192661,0.10915374755859375,369,470,1439.0
1773359366.2562034,0.0758059024810791,395,470,1439.0
1773359366.301997,0.10912966728210449,419,470,1439.0
1773359366.4159443,0.14244341850280762,445,471,1439.0
1773359366.5483248,0.14243006706237793,472,471,1439.0
1773359366.6950808,0.07575082778930664,497,473,1405.0
1773359366.7078292,0.10906863212585449,522,474,1405.0
1773359366.7853403,0.14238834381103516,546,475,1405.0
1773359366.9299943,0.142378568649292,573,476,1405.0
1773359366.9846854,0.1423664093017578,596,476,1374.0
1773359367.0628052,0.1423506736755371,593,477,1374.0
1773359367.1960974,0.14234042167663574,566,475,1439.0
1773359367.2841518,0.14232349395751953,538,475,1439.0
1773359367.3450184,0.14230942726135254,512,474,1474.0
1773359367.4798532,0.14229345321655273,488,471,1474.0
1773359367.581061,0.14227628707885742,454,471,1474.0
1773359367.7361898,0.10893559455871582,408,470,1511.0
1773359367.7792482,0.14224767684936523,363,470,1511.0
1773359367.9665103,0.10890078544616699,309,471,1511.0
1773359367.9976974,0.07555198669433594,257,473,1474.0
1773359368.052449,0.1422104835510254,204,474,1727.0
1773359368.2003217,0.1421985626220703,163,475,1474.0
1773359368.2853203,0.14217877388000488,128,477,1439.0
1773359368.3700402,0.10883760452270508,96,478,1439.0
1773359368.4693782,0.1421501636505127,75,479,1439.0
1773359368.6683545,0.10880637168884277,60,479,1405.0
1773359368.7108817,0.10878920555114746,59,480,1374.0
1773359368.7986832,0.10877656936645508,59,480,1374.0
1773359368.8932166,0.14209270477294922,71,479,1374.0
1773359368.9885504,0.14208531379699707,104,477,1374.0
1773359369.0756738,0.14206743240356445,145,475,1374.0
1773359369.1700578,0.10876822471618652,192,474,1405.0
1773359369.261434,0.14203858375549316,254,473,1889.0
1773359369.3967245,0.10869216918945312,318,472,0.0
1773359369.4873307,0.1420118808746338,381,471,5036.0
1773359369.5841384,0.14199519157409668,448,471,0.0
1773359369.6744144,0.14198660850524902,517,475,0.0
1773359369.727212,0.14197421073913574,582,478,0.0
1773359370.0091035,0.10860848426818848,658,479,1374.0
1773359370.0926437,0.10859441757202148,284,373,4649.0
1773359370.190776,0.14191246032714844,297,373,4649.0
1773359370.3516278,0.14188361167907715,349,373,4649.0
1773359370.5196695,0.14185476303100586,673,481,1590.0
1773359370.9119964,0.1418018341064453,574,478,1474.0
1773359370.9973218,0.10845255851745605,580,478,1405.0
1773359371.0878592,0.1417708396911621,589,478,1374.0
1773359371.220416,0.14176225662231445,590,477,1405.0
1773359371.3186474,0.14174628257751465,580,477,1405.0
1773359371.4453712,0.14172959327697754,493,476,1679.0
1773359371.5432837,0.14171504974365234,465,475,1511.0
1773359371.680823,0.10837054252624512,467,475,1439.0
1773359371.7653537,0.07502055168151855,462,474,1439.0
1773359371.8246996,0.141676664352417,401,473,1511.0
1773359371.953152,0.14165830612182617,350,473,1777.0
