time,dt,u,v,depth_center,cam_x,cam_y,cam_z,map_x,map_y,map_z
1773370368.9575932,0.09737610816955566,76,213,4317.0,-2.1011315248931153,-1.0688787527505643,4.317,nan,nan,nan
1773370369.0129974,0.09735989570617676,75,212,4029.0,-1.968027771275135,-1.0046396732991478,4.029,nan,nan,nan
1773370369.069857,0.0640099048614502,75,213,4029.0,-1.968027771275135,-0.997570649717865,4.029,nan,nan,nan
1773370369.128226,0.06399393081665039,74,213,4317.0,-2.116280184511084,-1.0688787527505643,4.317,nan,nan,nan
1773370369.1824532,0.09731817245483398,87,212,2518.0,-1.1769412537946755,-0.6278686267975314,2.518,nan,nan,nan
1773370369.2378654,0.09730339050292969,85,212,2628.0,-1.2375783179932844,-0.6552973595011569,2.628,nan,nan,nan
1773370369.299884,0.06395387649536133,84,212,2628.0,-1.2421892373210608,-0.6552973595011569,2.628,nan,nan,nan
1773370369.3538504,0.09727621078491211,83,212,2747.0,-1.3032572413677153,-0.6849702612441695,2.747,nan,nan,nan
1773370369.4119525,0.09726333618164062,83,212,4029.0,-1.9114755826248724,-1.0046396732991478,4.029,nan,nan,nan
1773370369.4699893,0.06391072273254395,71,213,4317.0,-2.139003173938037,-1.0688787527505643,4.317,nan,nan,nan
1773370369.483435,0.09723544120788574,70,213,4317.0,-2.146577503747021,-1.0688787527505643,4.317,nan,nan,nan
1773370369.498662,0.00283050537109375,70,213,3777.0,-1.8780688514367614,-0.9351760595642532,3.777,nan,nan,nan
1773370369.512233,0.06386685371398926,80,213,3777.0,-1.8118000451163214,-0.9351760595642532,3.777,nan,nan,nan
1773370369.601788,0.09719181060791016,80,213,3555.0,-1.7053082235606363,-0.880209396809881,3.555,nan,nan,nan
1773370369.6735127,0.09717774391174316,80,213,3777.0,-1.8118000451163214,-0.9351760595642532,3.777,nan,nan,nan
1773370369.866342,0.06382036209106445,80,213,4029.0,-1.932682653368721,-0.997570649717865,4.029,nan,nan,nan
1773370369.969405,0.06380581855773926,81,213,4029.0,-1.925613629787438,-0.997570649717865,4.029,nan,nan,nan
1773370370.0603738,0.06379365921020508,105,215,3777.0,-1.6461280293152214,-0.9219222983001653,3.777,nan,nan,nan
1773370370.1181293,0.09712100028991699,174,215,2628.0,-0.8272064978211805,-0.6414646015178275,2.628,nan,nan,nan
1773370370.226484,0.09711003303527832,233,214,2628.0,-0.55516225748237,-0.6460755208456039,2.628,nan,nan,nan
1773370370.2664385,0.09709572792053223,296,214,2747.0,-0.2766592129070589,-0.6753308431365578,2.747,nan,nan,nan
1773370370.4220464,0.09708142280578613,359,214,2747.0,0.026982457482712725,-0.6753308431365578,2.747,nan,nan,nan
1773370370.5103312,0.09706473350524902,425,214,2628.0,0.3301342534507079,-0.6460755208456039,2.628,nan,nan,nan
1773370370.6878445,0.06370806694030762,484,212,4029.0,0.9232028734695469,-1.0046396732991478,4.029,nan,nan,nan
1773370370.8312693,0.03035593032836914,607,206,3777.0,1.6805660479708686,-0.9815642239885614,3.777,nan,nan,nan
1773370370.8678553,0.06366944313049316,644,204,4317.0,2.201087806610007,-1.1370477210314236,4.317,nan,nan,nan
1773370370.961525,0.09699606895446777,59,155,7554.0,-3.901929076778491,-2.6390702724456108,7.554,nan,nan,nan
1773370371.0847216,0.03031301498413086,57,152,4317.0,-2.2450437912638184,-1.5309128710986109,4.317,nan,nan,nan
1773370371.1182907,0.09696817398071289,84,153,4317.0,-2.0405368864212403,-1.5233385412896265,4.317,nan,nan,nan
1773370371.2506244,0.0969541072845459,100,152,4649.0,-2.066955533115787,-1.648648120856484,4.649,nan,nan,nan
1773370371.3320363,0.0969383716583252,112,152,4317.0,-1.8284556517696777,-1.5309128710986109,4.317,nan,nan,nan
1773370371.4028692,0.09692764282226562,94,152,4317.0,-1.9647935883313965,-1.5309128710986109,4.317,nan,nan,nan
1773370371.4858549,0.09690999984741211,64,154,4317.0,-2.1920234826009275,-1.5157642114806422,4.317,nan,nan,nan
1773370371.5633473,0.09689760208129883,47,155,4317.0,-2.320787089353662,-1.508189881671658,4.317,nan,nan,nan
1773370371.6980872,0.06354117393493652,41,155,4317.0,-2.3662330682075683,-1.508189881671658,4.317,nan,nan,nan
1773370371.7815514,0.09687185287475586,653,203,4317.0,2.2692567748908665,-1.1446220508404081,4.317,nan,nan,nan
1773370371.88071,0.09685587882995605,652,203,4317.0,2.261682445081882,-1.1446220508404081,4.317,nan,nan,nan
1773370372.0081804,0.06349802017211914,37,169,4649.0,-2.580836175868626,-1.50998191566921,4.649,nan,nan,nan
1773370372.0829332,0.09682893753051758,69,155,6715.0,-3.3507365212713873,-2.3459566957204494,6.715,nan,nan,nan
1773370372.2167602,0.06347203254699707,83,153,4317.0,-2.0481112162302244,-1.5233385412896265,4.317,nan,nan,nan
1773370372.2945137,0.09680008888244629,148,155,5494.0,-1.9799523057406638,-1.9193873546222118,5.494,nan,nan,nan
1773370372.4141326,0.06344246864318848,234,157,5494.0,-1.1509623484860492,-1.900108518406988,5.494,nan,nan,nan
1773370372.4892416,0.09677338600158691,44,133,4317.0,-2.343510078780615,-1.674825137469314,4.317,nan,nan,nan
1773370372.520565,0.09675765037536621,114,136,4317.0,-1.8133069921517089,-1.6521021480423608,4.317,nan,nan,nan
1773370372.6482327,0.09674501419067383,502,185,4317.0,1.1255329737342266,-1.2809599874021267,4.317,nan,nan,nan
1773370372.7832887,0.09672904014587402,48,133,3357.0,-1.7988082542949928,-1.3023831333065756,3.357,nan,nan,nan
1773370373.0219858,0.06335854530334473,45,133,4317.0,-2.3359357489716306,-1.674825137469314,4.317,nan,nan,nan
1773370373.0368824,0.09668827056884766,117,136,6043.0,-2.5064857837539263,-2.3126368498077334,6.043,nan,nan,nan
1773370373.1718602,0.06333088874816895,160,137,4317.0,-1.4648878209384282,-1.6445278182333765,4.317,nan,nan,nan
1773370373.2945642,0.09666085243225098,196,136,4317.0,-1.1922119478149908,-1.6521021480423608,4.317,nan,nan,nan
1773370373.383971,0.09663867950439453,249,138,4317.0,-0.7907724679388192,-1.6369534884243921,4.317,nan,nan,nan
1773370373.4079916,0.09663081169128418,284,138,4317.0,-0.5256709246243662,-1.6369534884243921,4.317,nan,nan,nan
1773370373.5362716,0.09661746025085449,485,150,4649.0,1.0734261725960057,-1.6649617920549868,4.649,nan,nan,nan
